#A1_LOSSLESS_AI_TRANSPORT_V3
ticker=DAAZ|date=2024-12-05|rows=332|source_base=424989|compact_sha=ac4bf77614dbb0158215de23237f4a69fd2abad730362611002f89ca699c3764
defaults_json={"RAW_TICKER":"DAAZ","RAW_INTERVAL_SEC":"60","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"0","IDX_REGULAR_CLOCK_SESSION_CODE":"20","DATE_CHANGE_FROM_PREV_FLAG":"0","DATE_FIRST_OBS_IN_RANGE_FLAG":"0","ANALYSIS_RANGE_LAST_OBS_FLAG":"0","CLK_PREOPEN_INPUT_FLAG":"0","CLK_REGULAR_SESSION1_FLAG":"1","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"0","CLK_REGULAR_SESSION2_FLAG":"0","CLK_PRECLOSE_INPUT_FLAG":"0","CLK_POSTCLOSE_FLAG":"0","BND_PRE_REG_OPEN_5M_FLAG":"0","BND_FIRST_S1_5M_FLAG":"0","BND_LAST_S1_5M_FLAG":"0","BND_PRE_S2_5M_FLAG":"0","BND_FIRST_S2_5M_FLAG":"0","BND_LAST_REGULAR_5M_FLAG":"0","BND_FIRST_PRECLOSE_5M_FLAG":"0","RAW_AUX1_SEMANTIC_PROVEN_CODE":"-1","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"-1","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"-1"}
aliases_json={"RAW_TICKER":"x0","RAW_INTERVAL_SEC":"x1","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"x2","IDX_REGULAR_CLOCK_SESSION_CODE":"x3","DATE_CHANGE_FROM_PREV_FLAG":"x4","DATE_FIRST_OBS_IN_RANGE_FLAG":"x5","ANALYSIS_RANGE_LAST_OBS_FLAG":"x6","CLK_PREOPEN_INPUT_FLAG":"x7","CLK_REGULAR_SESSION1_FLAG":"x8","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"x9","CLK_REGULAR_SESSION2_FLAG":"x10","CLK_PRECLOSE_INPUT_FLAG":"x11","CLK_POSTCLOSE_FLAG":"x12","BND_PRE_REG_OPEN_5M_FLAG":"x13","BND_FIRST_S1_5M_FLAG":"x14","BND_LAST_S1_5M_FLAG":"x15","BND_PRE_S2_5M_FLAG":"x16","BND_FIRST_S2_5M_FLAG":"x17","BND_LAST_REGULAR_5M_FLAG":"x18","BND_FIRST_PRECLOSE_5M_FLAG":"x19","RAW_AUX1_SEMANTIC_PROVEN_CODE":"x20","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"x21","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"x22"}
#ROW i|HH:mm:ss|O|H|L|C|V|exceptions(alias=value;...)
117|10:57:00|4250.000000|4250.000000|4230.000000|4240.000000|12700|
118|10:58:00|4240.000000|4250.000000|4240.000000|4250.000000|7100|
119|10:59:00|4240.000000|4240.000000|4240.000000|4240.000000|13000|
120|11:00:00|4240.000000|4250.000000|4230.000000|4240.000000|30600|
121|11:01:00|4230.000000|4250.000000|4230.000000|4250.000000|25800|
122|11:02:00|4240.000000|4240.000000|4230.000000|4240.000000|8200|
123|11:03:00|4240.000000|4240.000000|4230.000000|4230.000000|4600|
124|11:04:00|4230.000000|4240.000000|4230.000000|4240.000000|2700|
125|11:05:00|4250.000000|4250.000000|4250.000000|4250.000000|1300|
126|11:06:00|4250.000000|4250.000000|4240.000000|4250.000000|28700|
127|11:07:00|4250.000000|4260.000000|4250.000000|4250.000000|3300|
128|11:08:00|4260.000000|4260.000000|4230.000000|4250.000000|52700|
129|11:09:00|4250.000000|4250.000000|4220.000000|4240.000000|24400|
130|11:10:00|4230.000000|4240.000000|4230.000000|4240.000000|5000|
131|11:11:00|4250.000000|4250.000000|4230.000000|4230.000000|2000|
132|11:12:00|4240.000000|4240.000000|4240.000000|4240.000000|5100|
133|11:13:00|4250.000000|4280.000000|4250.000000|4260.000000|30200|
134|11:14:00|4260.000000|4270.000000|4260.000000|4270.000000|4400|
135|11:15:00|4270.000000|4290.000000|4270.000000|4290.000000|20200|
136|11:16:00|4300.000000|4310.000000|4290.000000|4300.000000|61700|
137|11:17:00|4290.000000|4290.000000|4290.000000|4290.000000|3100|
138|11:18:00|4290.000000|4290.000000|4280.000000|4280.000000|16300|
139|11:19:00|4270.000000|4270.000000|4260.000000|4260.000000|11600|
140|11:20:00|4270.000000|4270.000000|4260.000000|4260.000000|400|
141|11:21:00|4260.000000|4270.000000|4260.000000|4270.000000|1400|
142|11:22:00|4270.000000|4270.000000|4260.000000|4270.000000|1400|
143|11:23:00|4270.000000|4270.000000|4270.000000|4270.000000|5100|
144|11:24:00|4260.000000|4280.000000|4260.000000|4280.000000|3000|
145|11:25:00|4280.000000|4280.000000|4270.000000|4270.000000|300|
146|11:26:00|4270.000000|4270.000000|4270.000000|4270.000000|1600|
147|11:27:00|4260.000000|4280.000000|4240.000000|4250.000000|46700|
148|11:28:00|4250.000000|4280.000000|4250.000000|4270.000000|8500|
149|11:29:00|4270.000000|4280.000000|4270.000000|4280.000000|3600|
150|11:30:00|4270.000000|4280.000000|4270.000000|4270.000000|300|
151|11:31:00|4270.000000|4280.000000|4270.000000|4280.000000|3000|
152|11:32:00|4280.000000|4280.000000|4270.000000|4270.000000|700|
153|11:33:00|4270.000000|4270.000000|4270.000000|4270.000000|600|
154|11:34:00|4260.000000|4260.000000|4260.000000|4260.000000|13100|
155|11:35:00|4250.000000|4250.000000|4250.000000|4250.000000|9000|
156|11:36:00|4250.000000|4250.000000|4250.000000|4250.000000|7800|
157|11:37:00|4250.000000|4260.000000|4250.000000|4260.000000|1800|
158|11:38:00|4270.000000|4270.000000|4260.000000|4260.000000|11500|
159|11:39:00|4280.000000|4280.000000|4270.000000|4280.000000|5400|
160|11:40:00|4280.000000|4290.000000|4280.000000|4290.000000|400|
161|11:41:00|4280.000000|4280.000000|4280.000000|4280.000000|4100|
162|11:42:00|4280.000000|4280.000000|4280.000000|4280.000000|7200|
