#A1_LOSSLESS_AI_TRANSPORT_V3
ticker=CTRA|date=2024-12-05|rows=226|source_base=411168|compact_sha=3d05947032a5c9b20e37e6e7259ca34390810fe492004676b2d826c30154c1a0
defaults_json={"RAW_TICKER":"CTRA","RAW_INTERVAL_SEC":"60","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"0","IDX_REGULAR_CLOCK_SESSION_CODE":"40","DATE_CHANGE_FROM_PREV_FLAG":"0","DATE_FIRST_OBS_IN_RANGE_FLAG":"0","ANALYSIS_RANGE_LAST_OBS_FLAG":"0","CLK_PREOPEN_INPUT_FLAG":"0","CLK_REGULAR_SESSION1_FLAG":"0","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"0","CLK_REGULAR_SESSION2_FLAG":"1","CLK_PRECLOSE_INPUT_FLAG":"0","CLK_POSTCLOSE_FLAG":"0","BND_PRE_REG_OPEN_5M_FLAG":"0","BND_FIRST_S1_5M_FLAG":"0","BND_LAST_S1_5M_FLAG":"0","BND_PRE_S2_5M_FLAG":"0","BND_FIRST_S2_5M_FLAG":"0","BND_LAST_REGULAR_5M_FLAG":"0","BND_FIRST_PRECLOSE_5M_FLAG":"0","RAW_AUX1_SEMANTIC_PROVEN_CODE":"-1","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"-1","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"-1"}
aliases_json={"RAW_TICKER":"x0","RAW_INTERVAL_SEC":"x1","OBS_DUP_OR_OUT_OF_ORDER_TIME_FLAG":"x2","IDX_REGULAR_CLOCK_SESSION_CODE":"x3","DATE_CHANGE_FROM_PREV_FLAG":"x4","DATE_FIRST_OBS_IN_RANGE_FLAG":"x5","ANALYSIS_RANGE_LAST_OBS_FLAG":"x6","CLK_PREOPEN_INPUT_FLAG":"x7","CLK_REGULAR_SESSION1_FLAG":"x8","CLK_OFFICIAL_MIDDAY_BREAK_FLAG":"x9","CLK_REGULAR_SESSION2_FLAG":"x10","CLK_PRECLOSE_INPUT_FLAG":"x11","CLK_POSTCLOSE_FLAG":"x12","BND_PRE_REG_OPEN_5M_FLAG":"x13","BND_FIRST_S1_5M_FLAG":"x14","BND_LAST_S1_5M_FLAG":"x15","BND_PRE_S2_5M_FLAG":"x16","BND_FIRST_S2_5M_FLAG":"x17","BND_LAST_REGULAR_5M_FLAG":"x18","BND_FIRST_PRECLOSE_5M_FLAG":"x19","RAW_AUX1_SEMANTIC_PROVEN_CODE":"x20","RAW_AUX2_FRESH_SEMANTIC_PROVEN_CODE":"x21","RAW_OPENINT_FRESH_SEMANTIC_PROVEN_CODE":"x22"}
#ROW i|HH:mm:ss|O|H|L|C|V|exceptions(alias=value;...)
53|09:58:00|1100.000000|1105.000000|1100.000000|1100.000000|2100|x3=20;x8=1;x10=0
54|09:59:00|1100.000000|1100.000000|1100.000000|1100.000000|5900|x3=20;x8=1;x10=0
55|10:00:00|1100.000000|1100.000000|1100.000000|1100.000000|3800|x3=20;x8=1;x10=0
56|10:01:00|1100.000000|1100.000000|1100.000000|1100.000000|4900|x3=20;x8=1;x10=0
57|10:02:00|1100.000000|1100.000000|1100.000000|1100.000000|7800|x3=20;x8=1;x10=0
58|10:03:00|1100.000000|1100.000000|1095.000000|1095.000000|158800|x3=20;x8=1;x10=0
59|10:04:00|1095.000000|1100.000000|1095.000000|1095.000000|13000|x3=20;x8=1;x10=0
60|10:05:00|1095.000000|1100.000000|1095.000000|1095.000000|2000|x3=20;x8=1;x10=0
61|10:06:00|1095.000000|1095.000000|1095.000000|1095.000000|46100|x3=20;x8=1;x10=0
62|10:07:00|1095.000000|1095.000000|1095.000000|1095.000000|2700|x3=20;x8=1;x10=0
63|10:08:00|1095.000000|1100.000000|1095.000000|1100.000000|188100|x3=20;x8=1;x10=0
64|10:09:00|1105.000000|1105.000000|1105.000000|1105.000000|100|x3=20;x8=1;x10=0
65|10:11:00|1105.000000|1105.000000|1105.000000|1105.000000|200|x3=20;x8=1;x10=0
66|10:16:00|1105.000000|1105.000000|1105.000000|1105.000000|1000|x3=20;x8=1;x10=0
67|10:18:00|1105.000000|1105.000000|1105.000000|1105.000000|100|x3=20;x8=1;x10=0
68|10:19:00|1105.000000|1105.000000|1105.000000|1105.000000|5000|x3=20;x8=1;x10=0
69|10:22:00|1105.000000|1105.000000|1105.000000|1105.000000|25000|x3=20;x8=1;x10=0
70|10:27:00|1100.000000|1100.000000|1100.000000|1100.000000|100000|x3=20;x8=1;x10=0
71|10:28:00|1105.000000|1105.000000|1105.000000|1105.000000|200|x3=20;x8=1;x10=0
72|10:29:00|1105.000000|1105.000000|1105.000000|1105.000000|11900|x3=20;x8=1;x10=0
73|10:32:00|1100.000000|1100.000000|1100.000000|1100.000000|700|x3=20;x8=1;x10=0
74|10:38:00|1105.000000|1105.000000|1105.000000|1105.000000|10000|x3=20;x8=1;x10=0
75|10:40:00|1100.000000|1100.000000|1100.000000|1100.000000|74800|x3=20;x8=1;x10=0
76|10:41:00|1095.000000|1095.000000|1095.000000|1095.000000|600|x3=20;x8=1;x10=0
77|10:42:00|1095.000000|1100.000000|1095.000000|1100.000000|136600|x3=20;x8=1;x10=0
78|10:43:00|1105.000000|1105.000000|1105.000000|1105.000000|100000|x3=20;x8=1;x10=0
79|10:48:00|1105.000000|1105.000000|1105.000000|1105.000000|202500|x3=20;x8=1;x10=0
80|10:49:00|1105.000000|1105.000000|1105.000000|1105.000000|700|x3=20;x8=1;x10=0
81|10:53:00|1100.000000|1100.000000|1100.000000|1100.000000|100|x3=20;x8=1;x10=0
82|10:56:00|1105.000000|1105.000000|1105.000000|1105.000000|12900|x3=20;x8=1;x10=0
83|10:58:00|1105.000000|1105.000000|1105.000000|1105.000000|79400|x3=20;x8=1;x10=0
84|10:59:00|1105.000000|1105.000000|1105.000000|1105.000000|300|x3=20;x8=1;x10=0
85|11:00:00|1100.000000|1100.000000|1100.000000|1100.000000|4400|x3=20;x8=1;x10=0
86|11:01:00|1105.000000|1105.000000|1105.000000|1105.000000|75000|x3=20;x8=1;x10=0
87|11:02:00|1105.000000|1105.000000|1105.000000|1105.000000|500|x3=20;x8=1;x10=0
88|11:08:00|1105.000000|1105.000000|1100.000000|1100.000000|11000|x3=20;x8=1;x10=0
89|11:09:00|1105.000000|1105.000000|1105.000000|1105.000000|100|x3=20;x8=1;x10=0
90|11:10:00|1105.000000|1105.000000|1105.000000|1105.000000|2500|x3=20;x8=1;x10=0
91|11:11:00|1105.000000|1110.000000|1100.000000|1110.000000|199900|x3=20;x8=1;x10=0
92|11:12:00|1110.000000|1110.000000|1110.000000|1110.000000|9400|x3=20;x8=1;x10=0
93|11:13:00|1110.000000|1110.000000|1110.000000|1110.000000|200|x3=20;x8=1;x10=0
94|11:17:00|1105.000000|1110.000000|1105.000000|1105.000000|108900|x3=20;x8=1;x10=0
95|11:38:00|1105.000000|1105.000000|1105.000000|1105.000000|200|x3=20;x8=1;x10=0
96|11:40:00|1105.000000|1105.000000|1105.000000|1105.000000|10000|x3=20;x8=1;x10=0
97|11:41:00|1105.000000|1105.000000|1105.000000|1105.000000|2500|x3=20;x8=1;x10=0
98|11:44:00|1100.000000|1100.000000|1100.000000|1100.000000|4600|x3=20;x8=1;x10=0
99|11:47:00|1105.000000|1105.000000|1105.000000|1105.000000|100000|x3=20;x8=1;x10=0
100|11:48:00|1100.000000|1100.000000|1100.000000|1100.000000|1300|x3=20;x8=1;x10=0
101|11:54:00|1100.000000|1100.000000|1100.000000|1100.000000|2800|x3=20;x8=1;x10=0
102|11:56:00|1100.000000|1100.000000|1100.000000|1100.000000|400|x3=20;x8=1;x10=0;x15=1
103|11:58:00|1105.000000|1105.000000|1100.000000|1100.000000|6000|x3=20;x8=1;x10=0;x15=1
104|11:59:00|1105.000000|1105.000000|1105.000000|1105.000000|20000|x3=20;x8=1;x10=0;x15=1
105|13:30:00|1100.000000|1105.000000|1095.000000|1095.000000|154500|x17=1
106|13:31:00|1095.000000|1095.000000|1095.000000|1095.000000|3000|x17=1
107|13:32:00|1095.000000|1095.000000|1095.000000|1095.000000|7100|x17=1
108|13:33:00|1095.000000|1095.000000|1095.000000|1095.000000|2700|x17=1
109|13:34:00|1095.000000|1095.000000|1095.000000|1095.000000|2700|x17=1
110|13:35:00|1095.000000|1095.000000|1095.000000|1095.000000|2100|
111|13:36:00|1095.000000|1095.000000|1095.000000|1095.000000|3200|
112|13:37:00|1095.000000|1095.000000|1095.000000|1095.000000|2400|
113|13:38:00|1095.000000|1100.000000|1095.000000|1100.000000|238500|
114|13:39:00|1095.000000|1100.000000|1095.000000|1100.000000|9600|
115|13:40:00|1095.000000|1100.000000|1095.000000|1100.000000|87400|
116|13:41:00|1100.000000|1100.000000|1100.000000|1100.000000|24400|
117|13:44:00|1100.000000|1100.000000|1100.000000|1100.000000|2500|
118|13:45:00|1100.000000|1100.000000|1100.000000|1100.000000|10000|
119|13:46:00|1100.000000|1100.000000|1100.000000|1100.000000|11100|
120|13:49:00|1095.000000|1095.000000|1095.000000|1095.000000|5000|
121|13:52:00|1095.000000|1100.000000|1095.000000|1100.000000|200100|
122|13:55:00|1100.000000|1100.000000|1100.000000|1100.000000|1000|
123|13:56:00|1100.000000|1100.000000|1100.000000|1100.000000|1000|
124|13:58:00|1100.000000|1100.000000|1100.000000|1100.000000|800|
125|13:59:00|1095.000000|1095.000000|1095.000000|1095.000000|200|
126|14:01:00|1100.000000|1100.000000|1100.000000|1100.000000|11400|
127|14:03:00|1100.000000|1100.000000|1100.000000|1100.000000|100|
128|14:07:00|1100.000000|1100.000000|1100.000000|1100.000000|600|
129|14:09:00|1100.000000|1100.000000|1100.000000|1100.000000|600|
130|14:10:00|1095.000000|1095.000000|1095.000000|1095.000000|4600|
131|14:11:00|1100.000000|1100.000000|1100.000000|1100.000000|14100|
132|14:12:00|1100.000000|1100.000000|1100.000000|1100.000000|800|
133|14:14:00|1100.000000|1100.000000|1100.000000|1100.000000|600|
134|14:16:00|1100.000000|1100.000000|1100.000000|1100.000000|100|
135|14:17:00|1095.000000|1100.000000|1095.000000|1100.000000|2000|
136|14:18:00|1095.000000|1100.000000|1095.000000|1095.000000|53300|
137|14:19:00|1095.000000|1095.000000|1095.000000|1095.000000|3400|
138|14:20:00|1095.000000|1100.000000|1095.000000|1095.000000|3000|
139|14:21:00|1095.000000|1095.000000|1095.000000|1095.000000|3200|
140|14:22:00|1100.000000|1100.000000|1095.000000|1095.000000|14000|
141|14:23:00|1095.000000|1100.000000|1095.000000|1100.000000|3800|
142|14:24:00|1095.000000|1095.000000|1095.000000|1095.000000|2400|
143|14:25:00|1095.000000|1095.000000|1095.000000|1095.000000|9300|
144|14:26:00|1095.000000|1095.000000|1095.000000|1095.000000|2800|
145|14:27:00|1095.000000|1100.000000|1095.000000|1095.000000|3900|
146|14:28:00|1095.000000|1100.000000|1095.000000|1100.000000|9100|
147|14:29:00|1095.000000|1100.000000|1095.000000|1100.000000|101800|
148|14:30:00|1100.000000|1105.000000|1100.000000|1105.000000|254400|
149|14:31:00|1105.000000|1105.000000|1105.000000|1105.000000|24000|
150|14:32:00|1105.000000|1105.000000|1100.000000|1105.000000|106000|
151|14:33:00|1105.000000|1105.000000|1105.000000|1105.000000|12200|
152|14:34:00|1105.000000|1105.000000|1100.000000|1100.000000|40500|
153|14:35:00|1100.000000|1100.000000|1100.000000|1100.000000|2900|
154|14:36:00|1100.000000|1100.000000|1100.000000|1100.000000|12000|
155|14:37:00|1100.000000|1100.000000|1100.000000|1100.000000|5800|
156|14:38:00|1100.000000|1100.000000|1100.000000|1100.000000|11700|
157|14:39:00|1100.000000|1100.000000|1100.000000|1100.000000|8000|
158|14:41:00|1100.000000|1100.000000|1100.000000|1100.000000|1000|
159|14:44:00|1100.000000|1100.000000|1100.000000|1100.000000|37100|
160|14:48:00|1100.000000|1105.000000|1100.000000|1105.000000|155500|
